dog_breed,dog_action,,cat_breed,cat_action
American Barbet ,add,,Abyssinian ,
American Bulldog ,,,Alley Cat ,add
American Bully ,add,,American Bobtail ,
Afghan Hound ,,,American Curl ,
American Cocker Spaniel ,,,American Curl Shorthair ,add
American Eskimo Dog ,,,American Longhair ,
African Boerboel ,add,,American Shorthair ,add
American Foxhound ,,,American Wirehair ,map
Ainu Dog ,add,,Angora ,add
American Hairless Terrier ,add,,Balinese ,
American Indian Dog ,add,,Bengal ,
American Staffordshire Terrier ,,,Bengalese ,add
American Water Spaniel ,,,Birman ,
Airedale Terrier ,,,Bombay ,
Anatolian Shepherd Dog ,,,British Shorthair ,
Anglo-french Hounds ,add,,Burmese ,
Appenzell Mountain Dog ,add,,Burmilla ,
Akbash ,add,,Calico ,add
Ariegeois ,add,,California Spangled ,add
Akita ,,,Cameo Longhair ,add
Affenpinscher ,,,Chartreux ,
Armant ,add,,Chausie ,
Alaskan Husky ,add,,Chinchilla ,
Australian Terrier ,,,Colorpoint ,add
Alaskan Klee Kai ,,,Colorpoint Longhair ,add
Artois Hound ,add,,Colorpoint Shorthair ,
Arubian Cunucu ,add,,Cornish Rex ,
Atlas Dog ,add,,Cymric ,
Alaskan Malamute ,,,Devon Rex ,
Australian Cattle Dog ,,,Domestic Longhair ,
American Allaunt ,add,,Domestic Mediumhair ,
Australian Kelpie ,,,Domestic Shorthair ,
American Alsatian ,add,,Dwarf Cat ,add
Australian Shepherd ,,,Egyptian Mau ,
Australian Short-haired Pinscher ,add,,European Burmese ,
Australian Silky Terrier ,add,,European Shorthair ,add
Austrian Coarse-haired Hound ,add,,Exotic ,
Austrian Hound ,add,,Exotic Longhair ,add
Auvergne Setter ,add,,Exotic Shorthair ,add
Azawakh Hound ,,,Havana Brown ,
Balkan Hound ,add,,Highland Fold ,add
Banjara Greyhound ,add,,Highland Lynx Cat ,map
Barbet ,add,,Himalayan ,
Basenji ,,,Himalayan Blue Point ,add
Basset Artesien Normand ,add,,Himalayan Flame Point ,add
Basset Griffon Vandeen ,add,,Himalayan Lilac Point ,add
Basset Hound ,,,Himalayan Seal Point ,add
Bavarian Mountain Dog ,add,,Japanese Bobtail ,
Beagle ,,,Kashmir ,
Beagle Harrier ,add,,Korat ,
Beagle Mix ,add,,LaPerm ,
Bearded Collie ,,,Maine Coon ,
Beauce Shepherd ,add,,Manx ,
Beauceron ,,,Minskin ,
Bedlington Terrier ,,,Mixed Cat ,map
Belgian Malinois ,,,Moggie ,add
Belgian Sheepdog ,,,Munchkin ,
Belgian Shepherd ,,,Nibelung ,map
Belgian Shepherd Malinois ,add,,Norwegian Forest ,map
Belgian Shepherd Tervuren ,add,,Ocicat ,
Belgian Tervuren ,,,Oriental ,
Bergamasco ,,,Oriental Colorpoint ,add
Berger De Bresse ,add,,Oriental Longhair ,
Berger De Savoie ,add,,Oriental Shorthair ,add
Berger Du Languedoc ,add,,Persian ,
Bernese Hound ,add,,Pixie Bob ,
Bernese Mountain Dog ,,,Ragamuffin ,
Bichon Frise ,,,Ragdoll ,
Bichon Mix ,add,,Russian Blue ,
Biewer Terrier ,Map,,Savannah ,
Billy ,add,,Scottish Fold ,
Black And Tan Coonhound ,,,Scottish Fold Longhair ,
Black Forest Hound ,add,,Selkirk Rex ,
Black Mouth Cur ,,,Selkirk Rex Longhair ,add
Black Russian Terrier ,,,Seychellois ,add
Bloodhound ,,,Siamese ,
Blue Heeler ,add,,Siberian ,
Blue Lacy ,,,Singapura ,
Bluetick Coonhound ,,,Snowshoe ,
Boerboel ,,,Somali ,
Bolognese ,,,Sphynx ,
Border Collie ,,,Tabby ,
Border Collie Mix ,add,,Tiffanie ,map
Border Terrier ,,,Tonkinese ,
Borzoi ,,,Turkish Angora ,
Bosnian Coarse-haired Hound ,add,,Turkish Van ,
Boston Terrier ,,,,
Bourbonnais Setter ,add,,,
Bouvier Des Flandres ,,,,
Boxer ,,,,
Boxer Mix ,,,,
Boykin Spaniel ,,,,
Braque Du Bourbonnais ,add,,,
Brazilian Guard Dog ,add,,,
Brazilian Tracker ,add,,,
Briard ,,,,
Briquet Griffon Vendeen ,add,,,
Brittany ,,,,
Broholmer ,add,,,
Brussels Griffon ,,,,
Bugg ,add,,,
Bull Terrier ,,,,
Bulldog ,,,,
Bulldog Mix ,add,,,
Bullmastiff ,,,,
Bulloxer ,add,,,
Cairn Terrier ,,,,
Canaan Dog ,,,,
Canadian Husky ,add,,,
Cane Corso ,,,,
Cardigan Corgis ,add,,,
Cardigan Welsh Corgi ,,,,
Carolina Dog ,add,,,
Catahoula Leopard ,Map,,,
Catalonian Shepherd ,add,,,
Caucasian Ovcharka ,Map,,,
Cavachon ,add,,,
Cavalier King Charles Spaniel ,,,,
Cavapoo ,,,,
Cesky Terrier ,,,,
Charplaninatz ,add,,,
Chesapeake Bay Retriever ,,,,
Chihuahua ,,,,
Chihuahua Mix ,,,,
Chinese Crested Dog ,Map,,,
Chinese Imperial ,add,,,
Chinook ,,,,
Chiweenie ,add,,,
Chow Chow ,,,,
Chow Mix ,,,,
Chug ,add,,,
Clumber Spaniel ,,,,
Cockapoo ,,,,
Cocker Spaniel ,,,,
Collie ,,,,
Coon Hound ,add,,,
Corgi Mix ,add,,,
Coton De Tulear ,,,,
Curly-Coated Retriever ,,,,
Czech Coarse-haired Setter ,add,,,
Czech Shepherd ,add,,,
Dachsbrackes ,Map,,,
Dachshund ,,,,
Dachsund Mix ,add,,,
Dalmatian ,,,,
Dalmatian Mix ,add,,,
Dandie Dinmont Terrier ,,,,
Danish-Swedish Farm ,add,,,
Deerhound ,add,,,
Deutsche Wachtelhund ,add,,,
Dingo ,add,,,
Doberman ,map,,,
Dogo Argentino ,map,,,
Dogue De Bordeaux ,,,,
Drentse Partridge Dog ,add,,,
Drever ,add,,,
Dunker ,add,,,
Dupuy Setter ,add,,,
Dutch Shepherd ,,,,
Elkhound ,add,,,
English Bull Terrier ,add,,,
English Bulldog ,,,,
English Cocker Spaniel ,,,,
English Coonhound ,add,,,
English Foxhound ,,,,
English Mastiff ,,,,
English Retriever ,add,,,
English Setter ,,,,
English Shepherd ,,,,
English Springer Spaniel ,,,,
English Toy Spaniel ,,,,
English Toy Terrier ,,,,
Entlebuch Mountain Dog ,,,,
Eskimo Dog ,add,,,
Estonian Hound ,add,,,
Estrela Mountain Dog ,,,,
Eurasier ,add,,,
Feist ,,,,
Fell Terrier ,add,,,
Field Spaniel ,,,,
Fila Brasileiro ,,,,
Finnish Hound ,add,,,
Finnish Lapphund ,,,,
Finnish Spitz ,,,,
Flat-coated Retriever ,,,,
Fox Terrier ,add,,,
French Bulldog ,,,,
French Hounds ,add,,,
French Setter ,add,,,
French Spaniel ,,,,
Frenchton ,add,,,
Gascons-saintongeois ,add,,,
German Hunt Terrier ,add,,,
German Pinscher ,,,,
German Shepherd ,map,,,
German Shorthaired Pointer ,,,,
German Spaniel ,add,,,
German Spitz ,,,,
German Wirehaired Pointer ,,,,
Giant Schnauzer ,,,,
Glen Of Imaal Terrier ,,,,
Golden Retriever ,,,,
Goldendoodle ,,,,
Gordon Setter ,,,,
Grand Gascons-Saintongeois ,add,,,
Grand Griffon Vandeen ,map,,,
Great Bernese ,add,,,
Great Dane ,,,,
Great Gascony Blue ,add,,,
Great Pyrenees ,,,,
Greater Swiss Mountain Dog ,,,,
Greenland Dog ,add,,,
Greyhound ,,,,
Haldenstovare ,add,,,
Hamiltonstovare ,add,,,
Hanover Hound ,add,,,
Harlequin Pinscher ,add,,,
Harrier ,,,,
Havanese ,,,,
Hellenic Hound ,add,,,
Hound Mix ,add,,,
Hovawart ,,,,
Hungarian Coarse-Haired Vizsla ,add,,,
Hungarian Greyhound ,add,,,
Hungarian Kuvasz ,add,,,
Hungarian Puli ,add,,,
Hungarian Vizsla ,add,,,
Husky ,add,,,
Hygenhund ,add,,,
Ibizan Hound ,,,,
Ibizan Wolfhound ,add,,,
Iceland Sheepdog ,map,,,
Irish Red & White Setter ,,,,
Irish Red Setter ,add,,,
Irish Setter ,,,,
Irish Terrier ,,,,
Irish Water Spaniel ,,,,
Irish Wolfhound ,,,,
Istrian Hounds ,add,,,
Italian Greyhound ,,,,
Italian Mastiff ,add,,,
Italian Segugio ,map,,,
Italian Setter ,add,,,
Italian Spinone ,add,,,
Italian Spitz ,add,,,
Jack Russell Terrier ,,,,
Jamthund ,add,,,
Japanese Akita ,add,,,
Japanese Chin ,,,,
Japanese Fighting Dog ,add,,,
Japanese Kai Ken ,map,,,
Japanese Kishu ,add,,,
Japanese Spitz ,,,,
Japanese Terrier ,add,,,
Jindo ,,,,
Jura Hounds ,add,,,
Kangal Dog ,add,,,
Kangaroo Hound ,add,,,
Karelian Bear Dog ,add,,,
Karst Shepherd ,add,,,
Keeshond ,,,,
Kerry Blue Terrier ,add,,,
King Charles Spaniel ,add,,,
King Shepherd ,add,,,
Komondor ,,,,
Kooikerhondje ,,,,
Kromfohrlander ,add,,,
Kuvasz ,,,,
Labradoodle ,,,,
Labrador Mix ,,,,
Labrador Retriever ,,,,
Lagotto Romagmolo ,,,,
Laikas ,add,,,
Lakeland Terrier ,,,,
Lancashire Heeler ,,,,
Lapland Spitz ,add,,,
Lapponian Herder ,add,,,
Large Munsterlander ,add,,,
Leonberger ,,,,
Levesque ,add,,,
Lhasa Apso ,,,,
Lhasa Apso Mix ,add,,,
Llewellin Setter ,add,,,
Lowchen ,,,,
Lucernese Hound ,add,,,
Lundehund ,add,,,
Lurcher ,,,,
M,M ,,,
Majestic Tree Hound ,add,,,
Majorcan Bulldog ,add,,,
Maltese ,,,,
Malti-Poo ,add,,,
Manchester Terrier ,,,,
Maremma Sheepdog ,map,,,
Mastiff ,,,,
Mastiff Mix ,,,,
McNab ,add,,,
Mexican Hairless Dog ,add,,,
MI-KI ,add,,,
Miniature American Eskimo ,add,,,
Miniature Australian Shepherd ,,,,
Miniature Bull Terrier ,,,,
Miniature Dachshund ,,,,
Miniature English Bulldog ,add,,,
Miniature Husky ,add,,,
Miniature Pinscher ,,,,
Miniature Poodle ,,,,
Miniature Pug ,add,,,
Miniature Schnauzer ,,,,
Miniature Spitz ,add,,,
Miniature Yorkie ,add,,,
Mixed Dog ,map,,,
Morkie ,,,,
Mountain Cur ,,,,
Mountain Feist ,add,,,
Mudi ,add,,,
Native American Indian Dog ,,,,
Neopolitan Mastiff ,,,,
New Guinea Singing Dog ,add,,,
Newfoundland ,,,,
Nivernais Griffon ,add,,,
Norfolk Terrier ,,,,
Norrbottenspets ,,,,
Norwegian Buhund ,,,,
Norwegian Elkhound ,,,,
Norwegian Lundehund ,,,,
Norwich Terrier ,,,,
Nova Scotia Duck Tolling Retriever ,,,,
Oeruvian Inca Orchid ,add,,,
Old Danish Pointer ,add,,,
Old English Sheepdog ,,,,
Olde Boston Bulldogge ,add,,,
Olde English Bulldogge ,,,,
Otterhound ,,,,
Ovcharka ,add,,,
Papillon ,,,,
Parson Jack Russell Terrier ,,,,
Patterdale Terrier ,,,,
Peekapoo ,add,,,
Pekingese ,,,,
Pembroke Welsh Corgi ,,,,
Peruvian Inca Orchid ,,,,
Petit Basset Griffon Vendeen ,Map,,,
Petit Brabancon ,add,,,
Pharaoh Hound ,add,,,
Picardy Shepherd ,add,,,
Pinscher ,add,,,
Pit Bull ,map,,,
Pit Bull Mix ,,,,
Plott Hound ,map,,,
Poggle ,add,,,
Pointer ,,,,
Pointer Mix ,add,,,
Poitevin ,add,,,
Polish Lowland Sheepdog ,,,,
Pom-Poo ,map,,,
Pomeranian ,,,,
Pomeranian Mix ,add,,,
Pont-audemer Spaniel ,add,,,
Poodle ,add,,,
Poodle (Standard) ,map,,,
Poodle Mix ,add,,,
Porcelaine ,add,,,
Portuguese Podengo ,,,,
Portuguese Setter ,add,,,
Portuguese Sheepdog ,add,,,
Portuguese Watchdog ,add,,,
Portuguese Water Dog ,,,,
Posavatz Hound ,add,,,
Prague Ratter ,add,,,
Presa Canario ,map,,,
Pudelpointer ,,,,
Pug ,,,,
Pug Mix ,add,,,
Puggle ,,,,
Pugshire ,add,,,
Puli ,,,,
Pumi ,,,,
Pyrenean Mastiff ,add,,,
Pyrenean Mountain Dog ,add,,,
Pyrenean Shepherd ,,,,
Queensland Heeler ,add,,,
Rafeiro Do Alentejo ,,,,
Rat Terrier ,,,,
Redbone Coonhound ,,,,
Redtick Coonhound ,add,,,
Retriever Mix ,add,,,
Rhodesian Ridgeback ,,,,
Rottweiler ,,,,
Rottweiler Mix ,,,,
Rough Collie ,add,,,
Rumanian Shepherd Dog ,add,,,
Russian Hounds ,add,,,
Russian Sheepdogs ,add,,,
Russian Toy Terrier ,,,,
Russian Tsvetnaya Bolonka ,add,,,
Saint Bernard ,,,,
Saint-German Setter ,add,,,
Saluki ,,,,
Samoyed ,,,,
Schapendoes ,,,,
Schiller Hound ,add,,,
Schipperke ,,,,
Schnauzer (Standard) ,add,,,
Schnauzer Mix ,add,,,
Schnoodle ,,,,
Scottish Deerhound ,,,,
Scottish Terrier ,,,,
Sealyham Terrier ,,,,
Shar-pei ,add,,,
Shar-pei Mix ,,,,
Sheltie ,add,,,
Sheltie Mix ,add,,,
Shepherd Mix ,,,,
Shetland Sheepdog ,add,,,
Shiba Inu ,,,,
Shih Tzu ,,,,
Shih Tzu Mix ,add,,,
Shih-Poo ,,,,
Shiloh Shepherd ,,,,
Siberian Husky ,,,,
Sicilian Hound ,add,,,
Silken Windhound ,add,,,
Silky Terrier ,,,,
Skye Terrier ,,,,
Sloughi ,,,,
Slovakian Kuvasz ,add,,,
Sluki ,add,,,
Smaland Hound ,add,,,
Small Blue Gascony Griffon ,add,,,
Small Gascons-Saintongeois ,add,,,
Small Gascony Blue ,add,,,
Small Munsterlanders ,map,,,
Small-sized French Setter ,add,,,
Smooth Collie ,add,,,
Smooth Fox Terrier ,,,,
Soft Coated Wheaten Terrier ,,,,
Spanish Alano ,add,,,
Spanish Greyhound ,add,,,
Spanish Hounds ,add,,,
Spanish Mastiff ,add,,,
Spanish Pointer ,add,,,
Spanish Water Dog ,,,,
Spinone Italiano ,,,,
Spitz ,add,,,
Springer Spaniel ,add,,,
Stabyhoun ,,,,
Staffordshire Bull Terrier ,,,,
Staffordshire Terrier ,add,,,
Steinbracke ,add,,,
Stephens` Stock ,add,,,
Sussex Spaniel ,,,,
Swedish Grey Dog ,add,,,
Swedish Lapphund ,,,,
Swedish Vallhund ,,,,
Swiss Hound ,add,,,
Tahltan Bear Dog ,add,,,
Tamaskan ,add,,,
Tawny Brittany Basset ,add,,,
Tawny Brittany Griffon ,add,,,
Teacup Poodle ,add,,,
Teacup Yorkie ,add,,,
Telomian ,add,,,
Terrier Mix ,add,,,
Thai Ridgeback ,,,,
Tibetan Mastiff ,,,,
Tibetan Spaniel ,,,,
Tibetan Terrier ,,,,
Tosa Inu ,map,,,
Toy Australian Shepherd ,add,,,
Toy Fox Terrier ,,,,
Toy Maltese ,add,,,
Toy Manchester Terrier ,add,,,
Toy Poodle ,,,,
Translvanian Hound ,add,,,
Treeing Tennessee Brindle ,,,,
Tyrolean Hound ,add,,,
Victorian Bulldog ,,,,
Vizsla ,,,,
Walker Hound ,add,,,
Weimaraner ,,,,
Welsh Corgi ,add,,,
Welsh Springer Spaniel ,,,,
Welsh Terrier ,,,,
West Highland Terrier ,add,,,
West Highland White Terrier ,,,,
Wetterhound ,add,,,
Wheaten Terrier ,add,,,
Whippet ,,,,
Wire Fox Terrier ,,,,
Wirehaired Pointing Griffon ,,,,
Wooly-Haired Griffon ,add,,,
Yellow Lab ,add,,,
Yorkie Mix ,add,,,
Yorkie Poo ,add,,,
Yorkshire Terrier ,,,,
Yugoslavian Mountain Dog ,add,,,
